timestamp,index,util_gpu,util_mem,mem_used_MB,mem_total_MB,power_W,sm_clock_MHz,mem_clock_MHz,temp_C,pstate
2026/04/23 01:14:27.753, 1, 0, 0, 136422, 143771, 110.64, 1980, 3201, 32, P0
2026/04/23 01:14:27.754, 2, 0, 0, 136422, 143771, 113.08, 1980, 3201, 33, P0
2026/04/23 01:14:27.754, 3, 0, 0, 136422, 143771, 113.79, 1980, 3201, 32, P0
2026/04/23 01:14:27.754, 4, 0, 0, 136422, 143771, 119.02, 1980, 3201, 35, P0
2026/04/23 01:14:27.754, 5, 0, 0, 136422, 143771, 112.92, 1980, 3201, 32, P0
2026/04/23 01:14:27.754, 6, 0, 0, 136422, 143771, 117.57, 1980, 3201, 36, P0
2026/04/23 01:14:27.754, 7, 0, 0, 135414, 143771, 113.00, 1980, 3201, 31, P0
2026/04/23 01:14:28.754, 0, 0, 0, 139979, 143771, 118.09, 1980, 3201, 35, P0
2026/04/23 01:14:28.754, 1, 0, 0, 136422, 143771, 110.60, 1980, 3201, 32, P0
2026/04/23 01:14:28.754, 2, 0, 0, 136422, 143771, 113.03, 1980, 3201, 33, P0
2026/04/23 01:14:28.754, 3, 0, 0, 136422, 143771, 113.73, 1980, 3201, 32, P0
2026/04/23 01:14:28.754, 4, 0, 0, 136422, 143771, 118.94, 1980, 3201, 35, P0
2026/04/23 01:14:28.754, 5, 0, 0, 136422, 143771, 112.85, 1980, 3201, 32, P0
2026/04/23 01:14:28.754, 6, 0, 0, 136422, 143771, 117.53, 1980, 3201, 36, P0
2026/04/23 01:14:28.754, 7, 0, 0, 135414, 143771, 113.00, 1980, 3201, 31, P0
2026/04/23 01:14:29.754, 0, 0, 0, 139979, 143771, 118.13, 1980, 3201, 35, P0
2026/04/23 01:14:29.754, 1, 0, 0, 136422, 143771, 110.57, 1980, 3201, 32, P0
2026/04/23 01:14:29.754, 2, 0, 0, 136422, 143771, 113.03, 1980, 3201, 33, P0
2026/04/23 01:14:29.754, 3, 0, 0, 136422, 143771, 113.76, 1980, 3201, 32, P0
2026/04/23 01:14:29.754, 4, 0, 0, 136422, 143771, 118.94, 1980, 3201, 35, P0
2026/04/23 01:14:29.755, 5, 0, 0, 136422, 143771, 112.83, 1980, 3201, 32, P0
2026/04/23 01:14:29.755, 6, 0, 0, 136422, 143771, 117.49, 1980, 3201, 35, P0
2026/04/23 01:14:29.755, 7, 0, 0, 135414, 143771, 112.96, 1980, 3201, 31, P0
2026/04/23 01:14:30.755, 0, 0, 0, 139979, 143771, 118.08, 1980, 3201, 35, P0
2026/04/23 01:14:30.755, 1, 0, 0, 136422, 143771, 110.57, 1980, 3201, 32, P0
2026/04/23 01:14:30.755, 2, 0, 0, 136422, 143771, 113.00, 1980, 3201, 33, P0
2026/04/23 01:14:30.755, 3, 0, 0, 136422, 143771, 113.72, 1980, 3201, 32, P0
2026/04/23 01:14:30.755, 4, 0, 0, 136422, 143771, 118.92, 1980, 3201, 35, P0
2026/04/23 01:14:30.755, 5, 0, 0, 136422, 143771, 112.81, 1980, 3201, 31, P0
2026/04/23 01:14:30.755, 6, 0, 0, 136422, 143771, 117.48, 1980, 3201, 35, P0
2026/04/23 01:14:30.755, 7, 0, 0, 135414, 143771, 112.95, 1980, 3201, 31, P0
2026/04/23 01:14:31.755, 0, 0, 0, 139979, 143771, 118.02, 1980, 3201, 35, P0
2026/04/23 01:14:31.755, 1, 0, 0, 136422, 143771, 110.56, 1980, 3201, 31, P0
2026/04/23 01:14:31.755, 2, 0, 0, 136422, 143771, 112.96, 1980, 3201, 33, P0
